id_code	name	variant_type	parent_table_id	parent_id	certainty_id	language_attribute_id	related_entity_id	notes
29963	Holledoorn	102	94	2953	1	0	0	
29937	vaisselle pot	103	95	6302	1	1907	0	
29936	vaisselle plat	103	95	6419	1	1907	0	
29935	vaisselle gobelet	103	95	6185	1	1907	0	
29934	vaisselle cruche	103	95	6129	1	1907	0	
29933	vaisselle coupelle	103	95	6359	1	1907	0	
29932	vaisselle coupe	103	95	6359	1	1907	0	
29931	vaisselle bouteille	103	95	6064	1	1907	0	
29930	vaisselle bol	103	95	6060	1	1907	0	
29929	vaisselle assiette	103	95	6419	1	1907	0	
29928	urne	103	95	6382	1	1907	0	
29927	torque	103	95	6408	1	1907	0	
29926	stèle borne	103	95	6065	1	1907	0	
29925	plat assiette	103	95	6419	1	1907	0	
29924	pilier	103	95	6283	1	1907	0	
29923	paroi rocheuse	103	95	6164	1	1907	0	
29922	Mosaïque	103	95	6257	1	1907	0	
29921	menhir	103	95	6347	1	1907	0	
29920	jeton	103	95	6364	1	1907	0	
29919	écuelle	103	95	6060	1	1907	0	
29918	Jatte	103	95	6481	1	1907	0	
29917	coupelle	103	95	6359	1	1907	0	
29916	colonne chapiteau	103	95	6082	1	1907	0	
29915	chapiteau	103	95	6082	1	1907	0	
29914	cartouche	103	95	6291	1	1907	0	
29913	bloc	103	95	6054	1	1907	0	
29912	balustre	103	95	6480	1	1907	0	
29911	assiette	103	95	6419	1	1907	0	
29910	amphore	103	95	6014	1	1907	0	
29909	plomb	103	95	2147	1	1907	0	
29908	marmor	103	95	2159	1	1902	0	
29907	marbre	103	95	2159	1	1907	0	
29906	granit	103	95	2113	1	1902	0	
29905	galets	103	95	2443	1	1907	0	
29904	Kaldsandstein	103	95	2055	1	1902	0	
29903	Calcaire	103	95	2055	1	1907	0	
29902	Saint-Léger-sous-Beuvray	102	94	3899	1	1907	0	
29891	Céramique	103	95	2313	1	1907	0	
29892	Vaisselle	103	95	6397	1	1907	0	
29893	Marque de propriété	103	95	3294	1	1907	0	
29894	Inscription funéraire	103	95	3059	1	1907	0	
29895	grès	103	95	2245	1	1907	0	
29896	argent	103	95	2252	1	1907	0	
29897	Inscription religieuse / cultuelle	103	95	3293	1	1907	0	
29898	Marque de carriers	103	95	3312	1	1907	0	
29899	Signature de l'artisan	103	95	3014	1	1907	0	
29900	Indéterminé	103	95	3151	1	1400	0	
29901	Étiquette	103	95	3055	1	1907	0	
29890	Naintré	301	94	18739	1	1907	0	
29889	Cenon-sur-Vienne	301	94	18739	1	1907	0	
29888	Vaison	102	94	4540	1	1400	0	
29887	Mogente / Moixent	102	94	7263	1	1400	0	
29886	Olivet d'en Pujol	102	94	7275	1	1400	0	
29885	Valls	302	94	7830	1	1400	0	
29882	Verdolay, Murcia	102	94	7342	1	1400	0	
29881	Turís / Torís	102	94	10677	1	1400	0	
29880	Nissan-les-Ensérune	102	94	18773	1	1400	0	
29879	L'Escala	102	94	10435	1	1400	0	
29878	Gandía / Gandia	102	94	10776	1	1400	0	
29877	Cuevas de Vinromá / Les Coves de Vinromà	102	94	10583	1	1400	0	
29883	Puig des Molins (Ibiza)	102	94	7293	1	1400	0	
29875	Burriana /Borriana	102	94	10990	1	1400	0	
29884	El Vilar, Valls	102	94	7830	1	1400	0	
29873	Bordeira	301	94	7141	1	1400	0	
29872	Aljezur	302	94	7141	1	1400	0	
29871	Agramón, Hellín	102	94	8026	1	1400	0	
29870	Yátova	301	94	7142	1	1400	0	
29869	Poblado íbero Pico de los Ajos	102	94	7142	1	1400	0	
29868	Vinaroz	102	94	7353	1	1904	0	
29867	Vinaroz / Vinaròs	102	94	7353	1	1400	0	
29866	Villastar	102	94	7351	1	1400	0	
29865	Villastar	301	94	7351	1	1400	0	
29864	Camps de l'Hospital	301	94	7347	1	1400	0	
29863	Vilademuls	301	94	7143	1	1400	0	
29862	El Verdolay	102	94	7342	1	1400	0	
29861	Verdolay/ Murcia	102	94	7342	1	1400	0	
29860	Torres-Torres	102	94	7338	1	1400	0	
29859	Poblado ibérico de Margalef	102	94	7140	1	1400	0	
29858	Talaiots y taula de torre vella den lozano	102	94	7335	1	1400	0	
29857	Hellín	301	94	7334	1	1400	0	
29856	Torre Trencada	102	94	7332	1	1400	0	
29855	Poblat Talaiòtic Torretrencada	102	94	7332	1	1400	0	
29854	Cádiz	302	94	7327	1	1400	0	
29853	Torre Alta	102	94	7327	1	1400	0	
29852	Son Danús Nou	102	94	7322	1	1400	0	
29851	El Santuario Ibérico de la Luz	102	94	7315	1	1400	0	
29850	Sant Julià de Ramis	102	94	7313	1	1400	0	
29849	Sant Vicenç de Montalt	102	94	7307	1	1400	0	
29848	San Miguel de Settezuela	102	94	7302	1	1400	0	Misspelling by IGEP
29847	San Mateo / Sant Mateu	102	94	7301	1	1400	0	
29846	San Mateo	102	94	7301	1	1904	0	
29845	Rhode	101	94	11183	1	1040	0	
29844	Cullera	301	94	7295	1	1400	0	
29843	Punta de l'Illa de Cullera	102	94	7295	1	1400	0	
29842	Torre Uchea	201	94	7287	1	1400	0	
29841	Pecio del Sec (Shipwreck)	102	94	7281	1	1400	0	
29840	Viladamat	301	94	7275	1	1400	0	
29839	Na Guardis-Sant Jordi	102	94	7272	1	1400	0	
